replica,espera_media,servicio_media,sistema_media,total_clientes
1,0.30424449517060553,3.3465843743138306,3.6508288694844357,208
2,0.3631775994101019,3.5636058453651698,3.926783444775271,181
3,0.7440931866600013,3.3668060830447173,4.110899269704718,200
4,0.22280753114902033,3.041025054986561,3.2638325861355812,196
5,0.30358530614038925,3.0259207963978216,3.329506102538211,193
6,0.3271758821810733,3.485556033902307,3.8127319160833806,206
7,0.25272778446870675,3.3716225865863128,3.6243503710550193,182
8,0.3379819795339756,3.562706714362699,3.9006886938966754,203
9,0.1294627121073452,2.9191792883224865,3.048642000429832,199
10,0.9421067609748569,3.5919220628544672,4.534028823829324,217
